8,0
16,1.07288E-06
32,4.76837E-07
64,4.76837E-07
128,5.96046E-07
256,4.76837E-07
512,4.76837E-07
1024,5.96046E-07
2048,4.76837E-07
4096,1.43051E-06
8192,2.02656E-06
16384,2.98023E-06
32768,5.00679E-06
65536,6.55651E-06
131072,1.14441E-05
262144,2.14577E-05
524288,4.1008E-05
1048576,7.65324E-05
2097152,0.000161529
4194304,0.00052011
8388608,0.001082063
16777216,0.002131104
33554432,0.004240513
67108864,0.017964482
134217728,0.043435931
268435456,0.093721986
536870912,0.190469503
1073741824,0.384366512
